establecimiento,filas,dataset
"('ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO MONJA BLANCA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO PREUNIVERSITARIO DE NORTE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO MIXTO PARTICULAR SAN BENITO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO CARLOS V', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO SANTO DOMINGO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE TURISMO Y AVIACION DEL NORTE ITAN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO PREUNIVERSITARIO DEL NORTE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COOPERACION MESOAMERICANA PARA EL DESARROLLO Y LA PAZ COMADEP', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO NUESTRA SEÑORA DE LA ESPERANZA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO NUEVOS HORIZONTES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO BASICO Y BACHILLERATO POR MADUREZ CARLOS V', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE BACHILLERATO ADS. AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO DE COMPUTACIÓN Y EDUCACION PARA EL HOGAR M.B.M.', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA IGER', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ESCUELA NORMAL DE EDUCACION FISICA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO EVANGELICO NAZARENO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ESCUELA DE FORMACION AGRICOLA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO BILINGÜE DE INFANTES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO DR. RICARDO BRESSANI', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA AMERG', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO SANTA CRUZ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO FUTURO AMANECER', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO SAN CRISTOBAL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO TECNOLOGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO CIENCIAS TECNOLÓGICAS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA CON ORIENTACION EN ARTES Y OFICIOS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO GALILEO GALILEI', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO DE CIENCIAS APLICADAS DR. CARLOS ALDANA MENDOZA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO LA PUPILA DEL CIELO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO TECNOLÓGICO VOCACIONAL MARCO TULIO DE LA CRUZ MORALES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO CIENCIAS TECNOLOGICAS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MESON', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO AKALTIC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO BLAISE PASCAL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO CRISTIANO PARTICULAR MIXTO VIDA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO NUESTRA SEÑORA DE LA ASUNCIÓN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO LA ENSEÑANZA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO NUESTRA SEÑORA DE LA ASUNCION', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO TACTIC JV', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGÜE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE FORMACIÓN ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL JACK & MARIE EITING', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE FORMACION ACADEMICA, TECNOLOGICA Y OCUPACIONAL JACK & MARIE EITING', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGÜE TUKUR', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO MESOAMERICANO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO JUAN AMOS COMENIO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO VALLE DEL POLOCHIC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO LICEO POLOCHIC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO SAGRADO CORAZÓN DEL POLOCHIC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO TECNOLÓGICO CAHABONCITO LITEC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO SAN MARTIN DE PORRES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO PRIMARIA BILINGÜE AJ KUTUNEL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO SAN MATEO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓNSENAHÚ CEPREC SENAHÚ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO DEL VALLE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGÜE NAUQ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO DE FORMACION MAGISTERIAL CON ORIENTACION BILINGÜE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO NUEVA VIDA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO ADOLFO V. HALL DEL NORTE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO TÉCNICO DIVERSIFICADO DE BACHILLERATO EN CONSTRUCCION', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO STHELLA DE HERNANDEZ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO SAN PABLO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO INTERCULTURAL VERAPACENSE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO SAN JOSÉ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO STHELLA DE HERNÁNDEZ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE EDUCACIÓN BÁSICA BILINGÜE INTERCULTURAL LA TRINIDAD', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO DE SUPERACIÓN A DISTANCIA VERAPACENSE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO SAGRADA FAMILIA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO SALESIANO DON BOSCO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE EDUCACION BASICA BILINGÜE INTERCULTURAL LA TRINIDAD', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO PRIVADO NUEVA GENERACIÓN DEL NORTE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO PARTICULAR DON BOSCO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO DON BOSCO TZACANIJA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO PRIVADO TALITA KUMI', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO TÉCNICO EXPERIMENTAL DE RECURSOS NATURALES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO ISAIAS BARRIENTOS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO COEDUCATIVO PRIVADO JAVIER DE LA VERAPAZ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO AK NALEB', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PRIVADO MIXTO DE DESARROLLO LOCAL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO SAN FRANCISCO JAVIER DE LA VERAPAZ', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO KAIROS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO GUATEMALTECO VERAPACENSE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO TÉCNICO EN RECURSOS NATURALES', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO DE BACHILLERATO EN COMPUTACIÓN Y EDUCACION PARA EL HOGAR MBM JM', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO EDUCATIVO MENONITA Q EQCHI BEZALEEL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO FRANCISCO OSWALDO REYES NARCISO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO DE EDUCACIÒN BILINGÜE INTERCULTURAL IMEBI', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓNLANQUÍN CEPREC LANQUÍN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGÜE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON CEPREC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO LEONARDO DA VINCI L L D', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO AGROECOLÓGICO DE EDUCACIÓN BILINGÜE FRAY DOMINGO DE VICO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN CEPREC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('FUNDACIÓN FRAY DOMINGO DE VICO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON CEPREC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO SANTA MARIA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGÜE SEPOC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO PARTICULAR RICARDO ARJONA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO MIXTO EN COMPUTACIÓN DEL NORTE', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO CRISTIANO GALILEA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO MIXTO PRIVADO SENDEROS PARA LA VIDA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO DE EDUCACIÓN FORTALEZA DEL FUTURO INMEFF', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO MIXTO PRIVADO ASDECHI', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ESCUELA NORMAL BILINGÜE INTERCULTURAL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO DE MAGISTERIO BILINGÜE NUEVO CHISEC', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA SANTO DOMINGO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO TECNOLOGICO LICENCIADO HUMBERTO RIVERA GARCIA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO TÉCNICO VOCACIONAL SAN AGUSTIN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO EL EXITO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE PROMOCION FEMENINA RATZ´UM KICHE´', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO FRAY BARTOLOME DE LAS CASAS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO TECNOLOGICO JOSE DE JESUS', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO DE EDUCACIÒN BILINGÜE INTERCULTURAL', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('CENTRO DE PROMOCIÓN FEMENINA RAT´ZUM K´ICHE´', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO EL ÉXITO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO LATINO', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO SANTA CATALINA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO TINTECO MARÍA TERESA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO TINTECO MARIA TERESA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO CRISTIANO EBENEZER', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO PRIVADO EL PORVENIR', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('INSTITUTO MIXTO DE MAGISTERIO BILINGÜE SAN ANTONIO DE PADUA', 'alta_verapaz_diversificado')",[347],alta_verapaz_diversificado
"('COLEGIO MIXTO PRIVADO BILINGÜE SAN JUAN', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('LICEO SAN JOSE LA PRIMAVERA', 'alta_verapaz_diversificado')",[],alta_verapaz_diversificado
"('ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO TEZULUTLAN', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('LICEO MIXTO SAN MATEO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO ESTUDIANTIL MIGUEL ÁNGEL ASTURIAS', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO EDUCATIVO VERAPAZ DEL SUR', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO TÉCNICO EXPERIMENTAL DE FORMACIÓN INDUSTRIAL POR COOPERATIVA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO TEZULUTLÁN', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('LICEO SAN RAFAEL', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO NACIONAL DE ADMINISTRACION DE EMPRESAS', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO TÉCNICO EXPERIMENTAL DE FORMACION INDUSTRIAL POR COOPERATIVA ITEFIC', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA IGER', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO NORMAL DE PRIMARIA BILINGÜE INTERCULTURAL ADS. A ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('ESCUELA NORMAL DE EDUCACION FISICA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR BAUTISTA MIXTO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PRIVADO MIXTO NAZARENO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO NUEVO AMANECER', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO MIXTO PRIVADO SAN JOSE DE BETANCUR POR MADUREZ', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO SANTO DOMINGO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO EDUCATIVO COMUNITARIO BILINGÜE INTERCULTURAL NUEVA ESPERANZA RIO NEGRO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('ENBI OXLAJUJ NO´OJ', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('LICEO PRIVADO MIXTO DE CIENCIAS COMERCIALES RABINAL ACHI', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO VIDA NUEVA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO INTEGRAL NUEVA GENERACIÓN', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACIÓN EN COMPUTACIÓN', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO CULTURAL DE AMERICA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO MIXTO PRIVADO MARIA ESMERALDA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO EDUCATIVO MEDALLA MILAGROSA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO MIXTO ZAMANEB', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO INTEGRAL NUEVA GENERACION', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO EDUCATIVO NUEVA ESPERANZA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO INTERCULTURAL TUNCAJ', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('LICEO AMANECER EN VICTORIA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('CENTRO DE ESTUDIOS MAGISTERIALES CEM', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO VALLE DEL URRAM', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO SAN JERONIMO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO SAN JERÓNIMO', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
"('INSTITUTO MIXTO PARTICULAR VERAPAZ', 'baja_verapaz_diversificado')",[119],baja_verapaz_diversificado
"('COLEGIO PARTICULAR MIXTO PURULHA PROFA. MARIA ZOE LOPEZ', 'baja_verapaz_diversificado')",[],baja_verapaz_diversificado
